times,prices
2024-06-06 13:00:00,71.42872519497199
2024-06-06 17:00:00,71.92057328154391
2024-06-06 21:00:00,71.28186622852893
2024-06-07 01:00:00,70.83513472340638
2024-06-07 05:00:00,70.66468045985027
2024-06-07 09:00:00,70.95072026459589
2024-06-07 13:00:00,70.10561405153712
2024-06-07 16:00:00,69.62024920044114
2024-06-07 20:00:00,62.32505018518075
2024-06-08 00:00:00,59.377290788539874
2024-06-08 04:00:00,58.50202223311363
2024-06-08 08:00:00,59.54267437122377
2024-06-08 12:00:00,60.56456571040772
2024-06-08 16:00:00,58.157886480895726
2024-06-08 19:00:00,58.282253998637884
2024-06-08 23:00:00,57.36825418507329
2024-06-09 03:00:00,56.97785278423235
2024-06-09 07:00:00,56.045677063115896
2024-06-09 11:00:00,55.555070096175214
2024-06-09 15:00:00,53.493521980170236
2024-06-09 19:00:00,51.04645675766944
2024-06-09 22:00:00,50.15214971366163
2024-06-10 02:00:00,49.430821001208926
2024-06-10 06:00:00,48.527628784305726
2024-06-10 10:00:00,47.837307489314796
2024-06-10 14:00:00,47.10680697744547
2024-06-10 18:00:00,48.47536073455067
2024-06-10 22:00:00,46.894684360127144
2024-06-11 01:00:00,45.27766938131065
2024-06-11 05:00:00,46.96300382418468
2024-06-11 09:00:00,46.38972237920383
2024-06-11 13:00:00,45.441475264491245
2024-06-11 17:00:00,45.08537123839143
2024-06-11 21:00:00,43.523161767363746
2024-06-12 01:00:00,44.456780797940674
2024-06-12 04:00:00,44.29658886098413
2024-06-12 08:00:00,43.994334806379825
2024-06-12 12:00:00,44.322617961562855
2024-06-12 16:00:00,46.11406071054766
2024-06-12 20:00:00,45.93531238185053
2024-06-13 00:00:00,41.68995978573294
2024-06-13 04:00:00,38.69239324050132
2024-06-13 07:00:00,36.66012396083568
2024-06-13 11:00:00,35.7240987347747
2024-06-13 15:00:00,34.371233010501705
2024-06-13 19:00:00,34.20051311514569
2024-06-13 23:00:00,33.05211068712491
2024-06-14 03:00:00,32.21055387951323
2024-06-14 07:00:00,32.932586392517464
2024-06-14 10:00:00,33.30247228493222
2024-06-14 14:00:00,32.88955548679746
2024-06-14 18:00:00,32.072912580771835
2024-06-14 22:00:00,30.040821013342637
2024-06-15 02:00:00,30.579253695145475
2024-06-15 06:00:00,30.54065096951806
2024-06-15 10:00:00,30.69417464243415
2024-06-15 13:00:00,31.367966591223883
2024-06-15 17:00:00,31.869445870970008
2024-06-15 21:00:00,32.92632767482835
2024-06-16 01:00:00,32.635297286582386
2024-06-16 05:00:00,34.43240662611741
2024-06-16 09:00:00,34.240222663038715
2024-06-16 13:00:00,34.1300078191811
2024-06-16 16:00:00,34.4242872872297
2024-06-16 20:00:00,34.81394770096113
2024-06-17 00:00:00,34.79205233607992
2024-06-17 04:00:00,35.122964220409976
2024-06-17 08:00:00,34.88064552374589
2024-06-17 12:00:00,33.01766446192126
2024-06-17 16:00:00,32.70216577674949
2024-06-17 19:00:00,32.95652402939739
2024-06-17 23:00:00,32.285857627468026
2024-06-18 03:00:00,36.27717675748173
2024-06-18 07:00:00,35.3713918120726
2024-06-18 11:00:00,34.72014985123704
2024-06-18 15:00:00,32.736004818701026
2024-06-18 19:00:00,30.37501173938825
2024-06-18 22:00:00,29.51255922885576
2024-06-19 02:00:00,29.47806168338525
2024-06-19 06:00:00,29.999210282734577
2024-06-19 10:00:00,29.826991990338023
2024-06-19 14:00:00,29.621361475642978
2024-06-19 18:00:00,25.60346185902371
2024-06-19 22:00:00,24.288534241821683
2024-06-20 01:00:00,24.725767363300825
2024-06-20 05:00:00,24.011163926939624
2024-06-20 09:00:00,23.03125874279973
2024-06-20 13:00:00,22.585449651881227
2024-06-20 17:00:00,21.90011141909757
2024-06-20 21:00:00,21.49622750803417
2024-06-21 00:00:00,22.285129807427584
2024-06-21 04:00:00,23.988651780151155
2024-06-21 08:00:00,23.353365606765262
2024-06-21 12:00:00,23.493355394071802
2024-06-21 16:00:00,23.889196562070342
2024-06-21 20:00:00,28.506667570097353
2024-06-22 00:00:00,29.668200852236293
2024-06-22 03:00:00,29.440538998182287
2024-06-22 07:00:00,29.258714225856696
2024-06-22 11:00:00,29.271199368858287
2024-06-22 15:00:00,28.95073878733928
2024-06-22 19:00:00,28.697428603058828
2024-06-22 23:00:00,28.758855217902678
2024-06-23 03:00:00,28.827381314918178
2024-06-23 06:00:00,28.885488380322816
2024-06-23 10:00:00,28.91676317960249
2024-06-23 14:00:00,27.254521537321104
2024-06-23 18:00:00,26.718155076560006
2024-06-23 22:00:00,27.122839232335316
2024-06-24 02:00:00,26.36976027914583
2024-06-24 06:00:00,26.264078635916313
2024-06-24 09:00:00,25.318515098921917
2024-06-24 13:00:00,24.888269560338536
2024-06-24 17:00:00,27.502489601087383
2024-06-24 21:00:00,24.707775415925617
2024-06-25 01:00:00,25.5208674465539
2024-06-25 05:00:00,25.624916531205322
2024-06-25 09:00:00,26.33163143287025
2024-06-25 12:00:00,26.543341179074815
2024-06-25 16:00:00,26.493327064077167
2024-06-25 20:00:00,27.524605245908976
2024-06-26 00:00:00,28.375657193296053
2024-06-26 04:00:00,28.02861346646691
2024-06-26 08:00:00,28.23692265801182
2024-06-26 12:00:00,28.31769834657175
2024-06-26 15:00:00,28.318480511554032
2024-06-26 19:00:00,27.894417899352117
2024-06-26 23:00:00,28.4270595757965
2024-06-27 03:00:00,28.075839870815916
2024-06-27 07:00:00,28.124095321405697
2024-06-27 11:00:00,28.011172171868292
2024-06-27 15:00:00,28.608120844248074
2024-06-27 18:00:00,28.892938888736634
