times,prices
2024-08-28 01:00:00,2464.168463071717
2024-08-28 03:00:00,2441.835241493188
2024-08-28 04:00:00,2445.2826443464305
2024-08-28 05:00:00,2461.55948684603
2024-08-28 06:00:00,2478.3886433414855
2024-08-28 07:00:00,2469.4616017617736
2024-08-28 08:00:00,2464.730933375777
2024-08-28 09:00:00,2464.2151438755327
2024-08-28 10:00:00,2437.9918045455593
2024-08-28 11:00:00,2464.397151932233
2024-08-28 12:00:00,2543.945079347927
2024-08-28 13:00:00,2524.0823983467144
2024-08-28 14:00:00,2524.258032354865
2024-08-28 15:00:00,2528.6238884549557
2024-08-28 16:00:00,2487.9531882719407
2024-08-28 17:00:00,2503.7814673365183
2024-08-28 18:00:00,2497.26609127307
2024-08-28 19:00:00,2516.4285714992216
2024-08-28 20:00:00,2502.823399824286
2024-08-28 21:00:00,2531.5373248257215
2024-08-28 22:00:00,2514.8088816248614
2024-08-28 23:00:00,2541.4156931963594
2024-08-29 00:00:00,2532.9993669883424
2024-08-29 01:00:00,2530.7716566815952
2024-08-29 02:00:00,2528.3623390871603
2024-08-29 03:00:00,2532.842494968375
2024-08-29 04:00:00,2523.2102537253436
2024-08-29 05:00:00,2529.890807620916
2024-08-29 06:00:00,2523.452379344456
2024-08-29 07:00:00,2525.7018332040548
2024-08-29 08:00:00,2540.0707334287395
2024-08-29 09:00:00,2550.9086206285156
2024-08-29 10:00:00,2548.3104797111246
2024-08-29 11:00:00,2542.9855912445637
2024-08-29 12:00:00,2543.770342881291
2024-08-29 13:00:00,2543.162237107729
2024-08-29 14:00:00,2559.367183491015
2024-08-29 15:00:00,2573.7553621324846
2024-08-29 17:00:00,2570.2076734381967
2024-08-29 18:00:00,2578.1164263887445
2024-08-29 19:00:00,2572.243434201218
2024-08-29 20:00:00,2576.1868909226873
2024-08-29 21:00:00,2520.8894510814407
2024-08-29 22:00:00,2526.8734887881656
2024-08-29 23:00:00,2537.6292368830536
2024-08-30 00:00:00,2531.0650095804676
2024-08-30 01:00:00,2524.4342569892538
2024-08-30 02:00:00,2528.732138120647
2024-08-30 03:00:00,2522.4960217432767
2024-08-30 04:00:00,2525.227323454682
2024-08-30 05:00:00,2515.6356889551057
2024-08-30 06:00:00,2518.3467376151193
2024-08-30 07:00:00,2519.883345089477
2024-08-30 08:00:00,2514.8862972071875
2024-08-30 09:00:00,2528.7601628834345
2024-08-30 10:00:00,2518.6947859214224
2024-08-30 11:00:00,2521.5580204439725
2024-08-30 12:00:00,2523.3813344557175
2024-08-30 13:00:00,2518.75705578129
2024-08-30 14:00:00,2512.8460841123374
2024-08-30 15:00:00,2521.6950318225126
2024-08-30 16:00:00,2524.0116735330953
2024-08-30 17:00:00,2466.9952651203616
2024-08-30 18:00:00,2444.438239975108
2024-08-30 19:00:00,2460.9124497297225
2024-08-30 20:00:00,2466.622576363427
2024-08-30 21:00:00,2533.9537470173973
2024-08-30 22:00:00,2508.014242141178
2024-08-30 23:00:00,2517.0493024945267
2024-08-31 00:00:00,2517.03210216677
2024-08-31 01:00:00,2526.7806701995896
2024-08-31 02:00:00,2525.8591403614178
2024-08-31 03:00:00,2525.040798247824
2024-08-31 04:00:00,2525.5899201791904
2024-08-31 05:00:00,2521.8401568905697
